Orden;Sexo;Ejercicio;Diferencia
4;Hombre;Intervalos;0,18
5;Hombre;Fondo;0,08
7;Hombre;Tempo;0,17
8;Hombre;Intervalos;0,28
9;Hombre;Fondo;0,23
12;Hombre;Tempo;0,35
14;Hombre;Intervalos;0,02
11;Hombre;Fondo;0,3
15;Hombre;Tempo;0,19
16;Hombre;Intervalos;0,05
19;Hombre;Fondo;0,05
20;Hombre;Tempo;0,15
24;Hombre;Intervalos;0,11
25;Hombre;Fondo;0,07
26;Hombre;Tempo;0,09
27;Hombre;Intervalos;0,08
30;Hombre;Fondo;0,3
38;Hombre;Tempo;0,04
48;Hombre;Intervalos;0,16
34;Hombre;Fondo;0,22
39;Hombre;Tempo;0,14
33;Hombre;Intervalos;0,14
35;Hombre;Fondo;0,3
40;Hombre;Tempo;0,08
1;Mujer;Intervalos;0,18
2;Mujer;Fondo;0,03
3;Mujer;Tempo;0,08
6;Mujer;Intervalos;0,235
10;Mujer;Fondo;0,05
13;Mujer;Tempo;0,04
17;Mujer;Intervalos;0,23
18;Mujer;Fondo;0,02
44;Mujer;Tempo;0,12
21;Mujer;Intervalos;0,02
31;Mujer;Fondo;0,12
32;Mujer;Tempo;0,1
22;Mujer;Intervalos;0,03
47;Mujer;Fondo;0,04
36;Mujer;Tempo;0,27
23;Mujer;Intervalos;0,13
41;Mujer;Fondo;0,03
37;Mujer;Tempo;0,02
28;Mujer;Intervalos;0,05
42;Mujer;Fondo;0,07
45;Mujer;Tempo;0,09
29;Mujer;Intervalos;0,03
43;Mujer;Fondo;0,04
46;Mujer;Tempo;0,02
